transaction_id,account_id,transaction_amount,transaction_date,transaction_type,location,customer_age,fraud_flag,risk_score,compliance_status
1,4174,2762.42,2023-01-01,Credit,Germany,60,0,Low Risk,Compliant
2,4507,832.52,2023-01-02,Transfer,India,69,0,Low Risk,Compliant
3,1860,2062.16,2023-01-03,Transfer,UK,52,0,Low Risk,Compliant
4,2294,3890.24,2023-01-04,Transfer,UK,57,0,Low Risk,Compliant
5,2130,2407.05,2023-01-05,Transfer,UK,31,1,Low Risk,Fraud Alert
6,2095,4926.58,2023-01-06,Credit,Germany,75,0,High Risk,SOX Violation
7,4772,1889.93,2023-01-07,Transfer,USA,50,0,Low Risk,Compliant
8,4092,3750.4,2023-01-08,Credit,USA,31,0,Low Risk,Compliant
9,2638,1971.02,2023-01-09,Transfer,Canada,51,0,Low Risk,Compliant
10,3169,4147.53,2023-01-10,Transfer,USA,78,0,Low Risk,SOX Violation
11,1466,2849.72,2023-01-11,Transfer,UK,72,0,Low Risk,Compliant
12,2238,326.92,2023-01-12,Credit,UK,21,0,High Risk,Compliant
13,1330,193.74,2023-01-13,Credit,UK,41,0,Low Risk,Compliant
14,2482,677.92,2023-01-14,Debit,Canada,76,0,Low Risk,Compliant
15,3135,78.22,2023-01-15,Transfer,UK,46,0,Low Risk,Compliant
16,4444,386.04,2023-01-16,Debit,USA,36,0,Low Risk,Compliant
17,4171,3461.65,2023-01-17,Debit,Germany,23,0,Low Risk,Compliant
18,3919,2676.39,2023-01-18,Credit,Germany,74,0,Low Risk,Compliant
19,4735,3752.05,2023-01-19,Credit,India,50,0,Low Risk,Compliant
20,1130,4566.7,2023-01-20,Debit,USA,66,0,Low Risk,SOX Violation
21,2685,2929.9,2023-01-21,Transfer,UK,57,0,Low Risk,Compliant
22,4380,3633.34,2023-01-22,Credit,Germany,36,0,Low Risk,Compliant
23,1769,3787.84,2023-01-23,Transfer,USA,70,0,Low Risk,Compliant
24,3391,1895.47,2023-01-24,Transfer,Germany,18,0,Low Risk,Compliant
25,2515,1213.01,2023-01-25,Debit,UK,22,0,Low Risk,Compliant
26,4485,1033.18,2023-01-26,Debit,Germany,44,0,Low Risk,Compliant
27,3853,1264.7,2023-01-27,Debit,India,33,0,Low Risk,Compliant
28,3433,1380.91,2023-01-28,Debit,India,23,0,Low Risk,Compliant
29,2215,1044.07,2023-01-29,Credit,Germany,57,0,Low Risk,Compliant
30,1955,4392.32,2023-01-30,Credit,USA,30,0,Low Risk,SOX Violation
31,3324,3787.43,2023-01-31,Debit,USA,65,0,Low Risk,Compliant
32,2184,244.01,2023-02-01,Credit,USA,79,0,High Risk,Compliant
33,1459,1350.68,2023-02-02,Debit,Germany,52,0,Low Risk,Compliant
34,4385,120.7,2023-02-03,Transfer,USA,36,0,Low Risk,Compliant
35,1021,2495.84,2023-02-04,Transfer,UK,29,1,Low Risk,Fraud Alert
36,3300,2386.29,2023-02-05,Transfer,India,33,0,Low Risk,Compliant
37,1747,4158.54,2023-02-06,Debit,UK,76,0,Low Risk,SOX Violation
38,3904,1545.81,2023-02-07,Transfer,USA,60,0,Low Risk,Compliant
39,4632,4083.76,2023-02-08,Credit,UK,27,0,Low Risk,SOX Violation
40,1474,4840.19,2023-02-09,Transfer,USA,42,0,Low Risk,SOX Violation
41,2082,451.16,2023-02-10,Transfer,Germany,37,0,Low Risk,Compliant
42,3558,3961.17,2023-02-11,Transfer,UK,48,0,Low Risk,Compliant
43,4753,2953.88,2023-02-12,Credit,Germany,21,0,Low Risk,Compliant
44,3047,2405.43,2023-02-13,Debit,Germany,61,0,Low Risk,Compliant
45,4547,2108.47,2023-02-14,Credit,Canada,40,0,Low Risk,Compliant
46,3747,3925.49,2023-02-15,Debit,USA,19,0,Low Risk,Compliant
47,1975,3200.41,2023-02-16,Debit,India,73,0,Low Risk,Compliant
48,2806,4027.17,2023-02-17,Transfer,USA,39,1,Low Risk,SOX Violation
49,1189,4516.72,2023-02-18,Debit,India,68,0,Low Risk,SOX Violation
50,4005,3090.15,2023-02-19,Credit,USA,74,0,Low Risk,Compliant
51,3734,4902.51,2023-02-20,Credit,Germany,54,0,Low Risk,SOX Violation
52,4005,3044.36,2023-02-21,Debit,UK,25,0,Low Risk,Compliant
53,1562,3186.86,2023-02-22,Transfer,UK,24,1,Low Risk,Fraud Alert
54,2899,2778.53,2023-02-23,Transfer,Canada,31,0,Low Risk,Compliant
55,4638,464.1,2023-02-24,Credit,India,73,0,Low Risk,Compliant
56,2267,3634.72,2023-02-25,Transfer,India,72,0,Low Risk,Compliant
57,3879,2741.76,2023-02-26,Debit,India,20,0,Low Risk,Compliant
58,2528,2260.04,2023-02-27,Debit,Germany,67,0,Low Risk,Compliant
59,4202,4553.25,2023-02-28,Credit,India,33,0,Low Risk,SOX Violation
60,4556,1496.82,2023-03-01,Debit,UK,72,0,Low Risk,Compliant
61,4890,2622.78,2023-03-02,Credit,Germany,36,0,Low Risk,Compliant
62,1646,3491.23,2023-03-03,Debit,USA,68,0,Low Risk,Compliant
63,3068,3984.39,2023-03-04,Credit,India,35,0,Low Risk,Compliant
64,3888,2302.14,2023-03-05,Transfer,India,69,0,Low Risk,Compliant
65,3214,4212.04,2023-03-06,Debit,USA,33,0,Low Risk,SOX Violation
66,2297,3846.9,2023-03-07,Debit,India,25,0,Low Risk,Compliant
67,3435,340.52,2023-03-08,Credit,USA,77,0,Low Risk,Compliant
68,1600,238.85,2023-03-09,Credit,Germany,50,1,Low Risk,Fraud Alert
69,3363,3107.82,2023-03-10,Debit,UK,66,0,Low Risk,Compliant
70,3061,1743.59,2023-03-11,Credit,USA,29,0,Low Risk,Compliant
71,1241,1053.56,2023-03-12,Debit,Canada,79,0,High Risk,Compliant
72,3041,2902.45,2023-03-13,Transfer,USA,70,0,Low Risk,Compliant
73,3824,1714.4,2023-03-14,Credit,India,28,0,Low Risk,Compliant
74,4417,2690.94,2023-03-15,Debit,Germany,22,0,Low Risk,Compliant
75,3612,2305.99,2023-03-16,Transfer,Germany,44,0,Low Risk,Compliant
76,3945,2927.98,2023-03-17,Transfer,USA,29,1,Low Risk,Fraud Alert
77,2363,2007.5,2023-03-18,Debit,UK,34,0,Low Risk,Compliant
78,3139,3491.36,2023-03-19,Credit,Canada,23,0,Low Risk,Compliant
79,2390,908.54,2023-03-20,Debit,Germany,50,0,Low Risk,Compliant
80,4003,3485.54,2023-03-21,Transfer,India,22,0,Low Risk,Compliant
81,2478,2064.19,2023-03-22,Debit,India,74,0,Low Risk,Compliant
82,4499,4372.84,2023-03-23,Credit,UK,45,0,Low Risk,SOX Violation
83,3556,2581.03,2023-03-24,Transfer,Germany,31,0,Low Risk,Compliant
84,1775,4865.82,2023-03-25,Debit,USA,22,0,High Risk,SOX Violation
85,1034,3013.66,2023-03-26,Credit,India,71,0,Low Risk,Compliant
86,3253,1127.01,2023-03-27,Transfer,UK,73,0,Low Risk,Compliant
87,4152,4110.74,2023-03-28,Credit,Germany,76,0,Low Risk,SOX Violation
88,2955,1731.96,2023-03-29,Transfer,Germany,50,0,Low Risk,Compliant
89,2585,1744.62,2023-03-30,Debit,Germany,79,0,Low Risk,Compliant
90,4943,168.71,2023-03-31,Credit,Germany,67,0,Low Risk,Compliant
91,4459,2748.09,2023-04-01,Transfer,Germany,65,0,Low Risk,Compliant
92,4073,2676.77,2023-04-02,Credit,India,58,0,Low Risk,Compliant
93,2021,1786.4,2023-04-03,Credit,UK,36,0,Low Risk,Compliant
94,4461,4472.14,2023-04-04,Debit,Germany,39,0,Low Risk,SOX Violation
95,3613,652.45,2023-04-05,Credit,Canada,22,0,Low Risk,Compliant
96,2129,1657.2,2023-04-06,Transfer,Canada,76,0,Low Risk,Compliant
97,4843,1614.7,2023-04-07,Transfer,UK,19,0,Low Risk,Compliant
98,4893,470.53,2023-04-08,Transfer,USA,47,0,Low Risk,Compliant
99,2500,2410.92,2023-04-09,Transfer,USA,64,0,Low Risk,Compliant
100,1702,3442.05,2023-04-10,Debit,USA,56,0,Low Risk,Compliant
101,3449,2563.17,2023-04-11,Credit,Canada,21,0,Low Risk,Compliant
102,3777,793.32,2023-04-12,Debit,USA,50,0,Low Risk,Compliant
103,2579,1892.66,2023-04-13,Credit,India,30,0,Low Risk,Compliant
104,1161,22.95,2023-04-14,Credit,Germany,37,0,Low Risk,Compliant
105,1201,4342.82,2023-04-15,Credit,Canada,71,1,Low Risk,SOX Violation
106,2981,431.74,2023-04-16,Debit,UK,24,0,Low Risk,Compliant
107,1995,2990.42,2023-04-17,Credit,UK,32,0,Low Risk,Compliant
108,3317,4931.42,2023-04-18,Debit,Germany,40,0,Low Risk,SOX Violation
109,4934,2687.59,2023-04-19,Transfer,Canada,31,0,Low Risk,Compliant
110,1815,4620.97,2023-04-20,Transfer,USA,40,0,Low Risk,SOX Violation
111,4342,1188.22,2023-04-21,Credit,USA,36,0,Low Risk,Compliant
112,1455,3802.18,2023-04-22,Debit,India,71,0,Low Risk,Compliant
113,4533,2661.02,2023-04-23,Transfer,India,46,0,Low Risk,Compliant
114,4798,3605.38,2023-04-24,Debit,USA,73,0,Low Risk,Compliant
115,2275,321.08,2023-04-25,Debit,UK,37,0,Low Risk,Compliant
116,2016,747.22,2023-04-26,Credit,UK,46,0,Low Risk,Compliant
117,4773,674.25,2023-04-27,Transfer,India,41,0,Low Risk,Compliant
118,3343,3438.96,2023-04-28,Credit,Germany,35,0,Low Risk,Compliant
119,4796,4223.76,2023-04-29,Credit,USA,27,0,Low Risk,SOX Violation
120,3767,3750.58,2023-04-30,Transfer,India,58,0,Low Risk,Compliant
121,4820,162.06,2023-05-01,Transfer,India,74,0,Low Risk,Compliant
122,1337,4337.4,2023-05-02,Debit,USA,25,0,Low Risk,SOX Violation
123,1878,1777.19,2023-05-03,Transfer,USA,43,0,Low Risk,Compliant
124,2076,1991.85,2023-05-04,Debit,UK,79,0,Low Risk,Compliant
125,1791,533.3,2023-05-05,Debit,Germany,46,0,Low Risk,Compliant
126,4993,3689.65,2023-05-06,Debit,Germany,27,0,Low Risk,Compliant
127,3264,919.6,2023-05-07,Transfer,USA,34,0,Low Risk,Compliant
128,1763,2824.19,2023-05-08,Credit,Canada,19,1,Low Risk,Fraud Alert
129,3235,4205.14,2023-05-09,Debit,India,23,0,Low Risk,SOX Violation
130,1379,455.13,2023-05-10,Credit,India,75,0,Low Risk,Compliant
131,1492,2681.32,2023-05-11,Credit,USA,22,0,Low Risk,Compliant
132,4112,1173.75,2023-05-12,Transfer,Canada,45,0,Low Risk,Compliant
133,2180,1721.21,2023-05-13,Credit,UK,79,0,Low Risk,Compliant
134,3062,2375.11,2023-05-14,Credit,USA,58,0,Low Risk,Compliant
135,4884,1781.97,2023-05-15,Transfer,USA,22,0,Low Risk,Compliant
136,1064,3247.63,2023-05-16,Debit,India,35,0,Low Risk,Compliant
137,4928,2403.11,2023-05-17,Credit,USA,43,0,Low Risk,Compliant
138,4910,2925.16,2023-05-18,Transfer,USA,37,0,Low Risk,Compliant
139,3568,3686.74,2023-05-19,Credit,USA,58,0,Low Risk,Compliant
140,2367,2793.13,2023-05-20,Credit,India,66,0,Low Risk,Compliant
141,2152,2936.81,2023-05-21,Debit,UK,44,0,Low Risk,Compliant
142,3027,2826.65,2023-05-22,Credit,UK,66,0,Low Risk,Compliant
143,3695,1900.08,2023-05-23,Transfer,USA,29,0,Low Risk,Compliant
144,2495,1693.86,2023-05-24,Credit,India,24,0,Low Risk,Compliant
145,4134,4499.24,2023-05-25,Debit,UK,76,0,Low Risk,SOX Violation
146,2162,3041.7,2023-05-26,Debit,UK,20,0,Low Risk,Compliant
147,2522,1229.32,2023-05-27,Transfer,UK,27,0,Low Risk,Compliant
148,3640,2496.26,2023-05-28,Debit,India,51,0,Low Risk,Compliant
149,1391,1658.44,2023-05-29,Credit,India,42,0,Low Risk,Compliant
150,2698,4669.12,2023-05-30,Debit,USA,52,0,Low Risk,SOX Violation
151,1418,47.6,2023-05-31,Transfer,Germany,33,0,High Risk,Compliant
152,3336,1134.41,2023-06-01,Debit,UK,19,0,Low Risk,Compliant
153,1378,1833.13,2023-06-02,Debit,Germany,77,0,Low Risk,Compliant
154,2796,2444.17,2023-06-03,Debit,India,41,0,Low Risk,Compliant
155,4561,4255.58,2023-06-04,Transfer,India,27,0,Low Risk,SOX Violation
156,3278,448.56,2023-06-05,Debit,India,55,0,Low Risk,Compliant
157,4065,4031.27,2023-06-06,Debit,Germany,39,0,Low Risk,SOX Violation
158,3088,287.71,2023-06-07,Credit,India,43,0,Low Risk,Compliant
159,4099,4213.15,2023-06-08,Transfer,USA,60,0,Low Risk,SOX Violation
160,3182,267.66,2023-06-09,Debit,India,72,0,Low Risk,Compliant
161,1200,101.03,2023-06-10,Transfer,Canada,56,0,High Risk,Compliant
162,2863,3487.84,2023-06-11,Debit,Germany,44,0,Low Risk,Compliant
163,1779,4986.31,2023-06-12,Debit,Canada,46,0,Low Risk,SOX Violation
164,3977,4484.09,2023-06-13,Debit,India,64,0,Low Risk,SOX Violation
165,4104,2884.23,2023-06-14,Credit,USA,55,0,Low Risk,Compliant
166,4119,4587.8,2023-06-15,Credit,UK,37,0,Low Risk,SOX Violation
167,1502,36.45,2023-06-16,Credit,India,44,0,Low Risk,Compliant
168,3454,4875.59,2023-06-17,Transfer,USA,58,0,Low Risk,SOX Violation
169,4645,2458.84,2023-06-18,Transfer,Germany,71,0,Low Risk,Compliant
170,2751,3617.25,2023-06-19,Credit,Canada,37,0,Low Risk,Compliant
171,1804,4106.1,2023-06-20,Transfer,Canada,61,0,Low Risk,SOX Violation
172,3146,3595.1,2023-06-21,Debit,Canada,36,0,Low Risk,Compliant
173,3731,2679.83,2023-06-22,Debit,Germany,37,0,Low Risk,Compliant
174,2895,2388.33,2023-06-23,Debit,USA,52,0,Low Risk,Compliant
175,3773,4194.53,2023-06-24,Credit,Germany,64,1,Low Risk,SOX Violation
176,2570,1033.34,2023-06-25,Transfer,Canada,19,0,Low Risk,Compliant
177,1960,4840.29,2023-06-26,Credit,India,47,0,Low Risk,SOX Violation
178,4810,3557.65,2023-06-27,Transfer,UK,70,0,Low Risk,Compliant
179,3660,1005.54,2023-06-28,Debit,Germany,51,0,Low Risk,Compliant
180,2485,3683.87,2023-06-29,Credit,Germany,39,0,Low Risk,Compliant
181,3690,2653.9,2023-06-30,Transfer,USA,20,0,Low Risk,Compliant
182,4840,3539.08,2023-07-01,Transfer,USA,23,0,Low Risk,Compliant
183,2028,3841.22,2023-07-02,Debit,Germany,32,0,Low Risk,Compliant
184,4289,445.58,2023-07-03,Credit,Canada,44,0,Low Risk,Compliant
185,1502,2535.46,2023-07-04,Credit,UK,27,0,Low Risk,Compliant
186,3814,4660.75,2023-07-05,Credit,USA,26,0,Low Risk,SOX Violation
187,1397,1610.0,2023-07-06,Debit,Canada,50,0,Low Risk,Compliant
188,1870,2973.48,2023-07-07,Credit,India,49,0,Low Risk,Compliant
189,3842,1852.46,2023-07-08,Debit,USA,65,0,Low Risk,Compliant
190,1392,2276.8,2023-07-09,Debit,Canada,23,0,Low Risk,Compliant
191,1206,2747.53,2023-07-10,Debit,Canada,58,0,Low Risk,Compliant
192,2038,2749.12,2023-07-11,Transfer,UK,76,0,Low Risk,Compliant
193,2881,1016.64,2023-07-12,Credit,UK,53,0,Low Risk,Compliant
194,4625,3426.01,2023-07-13,Credit,India,76,0,Low Risk,Compliant
195,3939,448.46,2023-07-14,Debit,Canada,77,0,Low Risk,Compliant
196,2484,702.74,2023-07-15,Debit,Canada,19,0,High Risk,Compliant
197,4762,23.53,2023-07-16,Credit,UK,46,0,Low Risk,Compliant
198,4646,592.31,2023-07-17,Debit,USA,21,0,Low Risk,Compliant
199,1863,2371.1,2023-07-18,Credit,USA,18,0,Low Risk,Compliant
200,3790,3034.45,2023-07-19,Transfer,Germany,36,0,Low Risk,Compliant
201,4312,3973.5,2023-07-20,Debit,UK,43,0,Low Risk,Compliant
202,1563,542.43,2023-07-21,Credit,Germany,42,0,Low Risk,Compliant
203,2020,4255.13,2023-07-22,Debit,UK,27,0,Low Risk,SOX Violation
204,1095,3732.41,2023-07-23,Credit,India,70,0,Low Risk,Compliant
205,2923,2048.51,2023-07-24,Credit,Canada,32,0,Low Risk,Compliant
206,2757,4665.36,2023-07-25,Debit,India,76,0,Low Risk,SOX Violation
207,3532,4954.74,2023-07-26,Transfer,UK,39,0,Low Risk,SOX Violation
208,4478,1032.96,2023-07-27,Credit,Canada,68,0,Low Risk,Compliant
209,3278,1902.35,2023-07-28,Credit,USA,65,0,Low Risk,Compliant
210,3796,4632.98,2023-07-29,Credit,USA,38,0,Low Risk,SOX Violation
211,2678,3610.77,2023-07-30,Transfer,Germany,76,0,Low Risk,Compliant
212,4242,249.99,2023-07-31,Transfer,UK,73,0,Low Risk,Compliant
213,1540,3909.76,2023-08-01,Debit,UK,39,0,Low Risk,Compliant
214,2059,4141.43,2023-08-02,Transfer,USA,53,0,Low Risk,SOX Violation
215,3572,3755.0,2023-08-03,Debit,India,51,0,Low Risk,Compliant
216,2183,3999.69,2023-08-04,Debit,Canada,47,0,Low Risk,Compliant
217,4910,4127.41,2023-08-05,Transfer,India,42,0,Low Risk,SOX Violation
218,2722,940.16,2023-08-06,Debit,India,62,0,Low Risk,Compliant
219,4314,1186.1,2023-08-07,Transfer,USA,45,0,Low Risk,Compliant
220,4157,3172.46,2023-08-08,Debit,USA,18,0,Low Risk,Compliant
221,2819,4540.25,2023-08-09,Transfer,USA,66,0,Low Risk,SOX Violation
222,3625,1587.82,2023-08-10,Transfer,Germany,62,0,Low Risk,Compliant
223,3729,2945.65,2023-08-11,Debit,India,21,0,Low Risk,Compliant
224,3604,3418.08,2023-08-12,Credit,UK,24,0,Low Risk,Compliant
225,2597,2265.22,2023-08-13,Debit,Canada,66,0,Low Risk,Compliant
226,4060,3571.77,2023-08-14,Transfer,Germany,26,0,Low Risk,Compliant
227,3693,4499.34,2023-08-15,Credit,UK,53,0,Low Risk,SOX Violation
228,1795,3124.27,2023-08-16,Debit,India,36,0,Low Risk,Compliant
229,2051,2703.51,2023-08-17,Debit,USA,18,1,Low Risk,Fraud Alert
230,2643,2199.34,2023-08-18,Debit,India,27,0,Low Risk,Compliant
231,4627,2891.66,2023-08-19,Credit,Canada,53,1,Low Risk,Fraud Alert
232,2363,1783.26,2023-08-20,Transfer,Germany,26,0,Low Risk,Compliant
233,4869,1963.5,2023-08-21,Debit,Germany,62,0,Low Risk,Compliant
234,2981,2663.97,2023-08-22,Debit,Canada,63,0,Low Risk,Compliant
235,2354,342.43,2023-08-23,Debit,UK,59,0,Low Risk,Compliant
236,2663,1152.84,2023-08-24,Debit,UK,49,0,Low Risk,Compliant
237,2529,2718.82,2023-08-25,Debit,Germany,49,0,Low Risk,Compliant
238,3038,2163.33,2023-08-26,Transfer,Germany,23,0,Low Risk,Compliant
239,4419,1670.75,2023-08-27,Transfer,USA,65,0,Low Risk,Compliant
240,2496,3655.44,2023-08-28,Debit,UK,55,0,Low Risk,Compliant
241,4302,3471.65,2023-08-29,Credit,Canada,34,0,Low Risk,Compliant
242,3237,841.99,2023-08-30,Transfer,UK,27,0,Low Risk,Compliant
243,4296,4394.36,2023-08-31,Credit,USA,67,0,Low Risk,SOX Violation
244,2408,2482.16,2023-09-01,Transfer,Germany,44,0,Low Risk,Compliant
245,2400,3709.89,2023-09-02,Debit,Germany,71,0,Low Risk,Compliant
246,2306,2870.02,2023-09-03,Transfer,USA,67,0,Low Risk,Compliant
247,3680,4988.49,2023-09-04,Debit,Canada,52,0,High Risk,SOX Violation
248,3675,3764.49,2023-09-05,Transfer,Germany,69,0,Low Risk,Compliant
249,1972,3537.83,2023-09-06,Debit,India,76,0,Low Risk,Compliant
250,2768,3895.07,2023-09-07,Debit,Germany,38,0,Low Risk,Compliant
251,2282,724.21,2023-09-08,Debit,India,42,0,Low Risk,Compliant
252,4430,1030.68,2023-09-09,Debit,USA,45,0,Low Risk,Compliant
253,1709,3573.18,2023-09-10,Credit,USA,64,0,Low Risk,Compliant
254,2479,2474.97,2023-09-11,Debit,Germany,32,0,Low Risk,Compliant
255,2434,3775.63,2023-09-12,Credit,UK,21,0,Low Risk,Compliant
256,1648,523.55,2023-09-13,Credit,India,46,0,Low Risk,Compliant
257,1317,2687.04,2023-09-14,Debit,Canada,76,0,Low Risk,Compliant
258,4748,1900.32,2023-09-15,Credit,Germany,26,0,Low Risk,Compliant
259,4296,2290.43,2023-09-16,Transfer,Canada,44,0,Low Risk,Compliant
260,4890,3023.75,2023-09-17,Debit,Germany,43,0,Low Risk,Compliant
261,2257,2516.42,2023-09-18,Credit,UK,36,0,Low Risk,Compliant
262,1683,2703.9,2023-09-19,Debit,UK,73,0,Low Risk,Compliant
263,1663,2436.92,2023-09-20,Debit,UK,45,0,Low Risk,Compliant
264,2998,2050.69,2023-09-21,Debit,UK,34,0,Low Risk,Compliant
265,4898,3861.69,2023-09-22,Credit,USA,60,0,Low Risk,Compliant
266,4445,70.89,2023-09-23,Transfer,USA,74,0,High Risk,Compliant
267,4743,2996.23,2023-09-24,Transfer,India,58,0,Low Risk,Compliant
268,2631,2831.89,2023-09-25,Credit,Canada,59,0,Low Risk,Compliant
269,2495,3583.73,2023-09-26,Debit,Germany,67,0,Low Risk,Compliant
270,4304,2999.16,2023-09-27,Credit,Germany,37,0,Low Risk,Compliant
271,4763,4135.73,2023-09-28,Credit,USA,62,0,Low Risk,SOX Violation
272,2136,4795.78,2023-09-29,Credit,Germany,57,0,Low Risk,SOX Violation
273,2853,1719.2,2023-09-30,Debit,USA,56,0,Low Risk,Compliant
274,2520,1144.48,2023-10-01,Credit,India,66,0,Low Risk,Compliant
275,3489,2123.75,2023-10-02,Debit,Canada,70,0,Low Risk,Compliant
276,1563,1446.77,2023-10-03,Credit,India,40,0,Low Risk,Compliant
277,2291,3078.6,2023-10-04,Transfer,UK,64,0,Low Risk,Compliant
278,4581,4560.14,2023-10-05,Credit,UK,49,0,Low Risk,SOX Violation
279,4878,704.19,2023-10-06,Credit,UK,69,0,Low Risk,Compliant
280,4457,512.97,2023-10-07,Transfer,India,64,0,Low Risk,Compliant
281,4458,1287.52,2023-10-08,Debit,Germany,50,0,Low Risk,Compliant
282,4184,3633.22,2023-10-09,Debit,Canada,74,0,Low Risk,Compliant
283,2636,2968.88,2023-10-10,Credit,UK,63,0,Low Risk,Compliant
284,4696,520.04,2023-10-11,Transfer,UK,22,0,Low Risk,Compliant
285,3999,4594.57,2023-10-12,Debit,UK,60,0,Low Risk,SOX Violation
286,4152,3952.52,2023-10-13,Credit,Canada,65,0,Low Risk,Compliant
287,1698,124.88,2023-10-14,Transfer,UK,51,0,Low Risk,Compliant
288,3160,3260.32,2023-10-15,Debit,Canada,57,0,Low Risk,Compliant
289,1001,3858.52,2023-10-16,Debit,UK,28,0,Low Risk,Compliant
290,1641,1878.43,2023-10-17,Transfer,India,78,0,Low Risk,Compliant
291,3267,353.92,2023-10-18,Transfer,India,67,0,Low Risk,Compliant
292,2589,395.83,2023-10-19,Transfer,Canada,20,0,High Risk,Compliant
293,1854,530.19,2023-10-20,Transfer,India,79,0,High Risk,Compliant
294,2759,4203.79,2023-10-21,Credit,Canada,75,0,Low Risk,SOX Violation
295,4296,4554.32,2023-10-22,Transfer,India,50,0,Low Risk,SOX Violation
296,3432,622.83,2023-10-23,Debit,India,28,0,Low Risk,Compliant
297,4474,1187.17,2023-10-24,Debit,Canada,33,0,Low Risk,Compliant
298,2661,835.95,2023-10-25,Credit,Germany,35,0,Low Risk,Compliant
299,2153,939.74,2023-10-26,Debit,India,47,0,Low Risk,Compliant
300,2076,4189.08,2023-10-27,Debit,UK,65,0,Low Risk,SOX Violation
301,2707,1667.41,2023-10-28,Transfer,Germany,72,0,Low Risk,Compliant
302,3777,1564.11,2023-10-29,Debit,Canada,27,0,Low Risk,Compliant
303,2695,1144.7,2023-10-30,Credit,Germany,35,0,Low Risk,Compliant
304,2733,3043.39,2023-10-31,Transfer,USA,55,0,Low Risk,Compliant
305,2439,1902.74,2023-11-01,Transfer,USA,36,0,Low Risk,Compliant
306,3294,3723.81,2023-11-02,Credit,India,53,0,Low Risk,Compliant
307,1835,1035.84,2023-11-03,Transfer,India,76,0,Low Risk,Compliant
308,4510,3941.07,2023-11-04,Transfer,UK,30,0,Low Risk,Compliant
309,1202,3022.57,2023-11-05,Credit,Germany,73,0,Low Risk,Compliant
310,4255,580.19,2023-11-06,Transfer,USA,63,0,Low Risk,Compliant
311,1122,2078.38,2023-11-07,Credit,India,20,0,Low Risk,Compliant
312,1400,4318.96,2023-11-08,Credit,Germany,27,0,Low Risk,SOX Violation
313,1766,4615.57,2023-11-09,Debit,India,55,0,Low Risk,SOX Violation
314,1293,2333.84,2023-11-10,Debit,India,18,0,Low Risk,Compliant
315,3327,2409.38,2023-11-11,Transfer,USA,72,0,Low Risk,Compliant
316,4908,4593.09,2023-11-12,Transfer,USA,73,0,Low Risk,SOX Violation
317,3931,2939.47,2023-11-13,Credit,India,44,0,Low Risk,Compliant
318,4681,173.9,2023-11-14,Transfer,Canada,63,0,Low Risk,Compliant
319,1197,4564.62,2023-11-15,Credit,India,25,0,Low Risk,SOX Violation
320,4029,1248.65,2023-11-16,Credit,India,68,0,Low Risk,Compliant
321,2930,2892.38,2023-11-17,Transfer,UK,63,1,Low Risk,Fraud Alert
322,4582,835.91,2023-11-18,Credit,UK,59,0,Low Risk,Compliant
323,3799,179.06,2023-11-19,Debit,UK,34,0,Low Risk,Compliant
324,3191,1564.25,2023-11-20,Transfer,Canada,26,0,Low Risk,Compliant
325,1608,3904.67,2023-11-21,Debit,Canada,78,0,Low Risk,Compliant
326,4272,1395.16,2023-11-22,Transfer,India,23,0,Low Risk,Compliant
327,2147,1108.29,2023-11-23,Credit,UK,60,0,Low Risk,Compliant
328,1186,1071.28,2023-11-24,Transfer,Canada,42,0,Low Risk,Compliant
329,4397,2580.72,2023-11-25,Debit,USA,56,0,Low Risk,Compliant
330,3511,4877.95,2023-11-26,Credit,India,66,0,Low Risk,SOX Violation
331,4420,2300.36,2023-11-27,Transfer,Germany,77,0,Low Risk,Compliant
332,2794,2790.95,2023-11-28,Transfer,India,45,0,Low Risk,Compliant
333,1659,4304.55,2023-11-29,Transfer,Germany,50,0,Low Risk,SOX Violation
